iter	RMSE
0	119.5714436
1	117.98098
2	116.7963351
3	115.3208766
4	113.9381868
5	112.8798843
6	111.9771339
7	110.7382943
8	109.7309498
9	108.7573346
10	107.7094967
11	106.7235946
12	105.9042927
13	105.1234911
14	104.4385855
15	103.640952
16	102.8793875
17	102.1495564
18	101.4276842
19	100.7335238
20	100.1355496
21	99.61026478
22	99.06074007
23	98.43972454
24	97.92053257
25	97.38399363
26	96.71311388
27	96.07340929
28	95.63224985
29	95.34889069
30	94.86611604
31	94.40401149
32	94.05112967
33	93.83171509
34	93.44322377
35	93.00192987
36	92.56084071
37	92.0735792
38	91.77050657
39	91.63550508
40	91.42076221
41	91.23287367
42	90.91583265
43	90.57470903
44	90.23495665
45	89.9673064
46	89.7999877
47	89.65614756
48	89.48547009
49	89.2463535
50	88.86649616
51	88.83302382
52	88.74526513
53	88.53843724
54	88.29280602
55	88.12438843
56	87.87630148
57	87.64197811
58	87.40887815
59	87.19194061
60	86.97179473
61	86.83006195
62	86.59551496
63	86.3269858
64	85.94395414
65	85.64347233
66	85.45162701
67	85.22256488
68	85.05159816
69	84.91086723
70	84.87974614
71	84.66948853
72	84.5668152
73	84.44530616
74	84.38595108
75	84.24718579
76	84.14598306
77	83.97425612
78	83.83939586
79	83.77226757
80	83.65654616
81	83.65134614
82	83.43555187
83	83.18814577
84	83.02818594
85	83.00402486
86	82.86102266
87	82.70871014
88	82.47251335
89	82.25057185
90	82.00201873
91	81.89426701
92	81.65948605
93	81.37422555
94	81.22062308
95	81.12626998
96	80.99098749
97	80.92399469
98	80.8457753
99	80.74630098
100	80.65409767
101	80.53782425
102	80.47105026
103	80.44627143
104	80.40825875
105	80.39150102
106	80.16161389
107	80.11580615
108	80.05928029
109	80.05923474
110	79.98619115
111	79.92153636
112	79.90636787
113	79.76124537
114	79.75499511
115	79.6182302
116	79.49816002
117	79.3999031
118	79.39987683
119	79.31702796
120	79.31325665
121	79.17531461
122	79.10289094
123	79.00636335
124	78.92793482
125	78.86485676
126	78.71775399
127	78.62291915
128	78.47411185
129	78.32102699
130	78.1614193
131	78.14114694
132	78.0252964
133	77.9899396
134	77.91128685
135	77.82662072
136	77.759451
137	77.7216098
138	77.65132874
139	77.64709977
140	77.62563364
141	77.61368258
142	77.57599186
143	77.49828476
144	77.44225978
145	77.43590703
146	77.33876231
147	77.22972188
148	77.22073298
149	77.11748519
150	77.11665027
151	77.07232724
152	77.05572121
153	76.8949803
154	76.86597936
155	76.86597464
156	76.8256482
157	76.78063141
158	76.7430763
159	76.74076667
160	76.57755625
161	76.51639477
162	76.34774149
163	76.30104071
164	76.22883068
165	76.22380431
166	76.11984121
167	76.01539861
168	75.97986499
169	75.95503617
170	75.82420155
171	75.78163725
172	75.64667747
173	75.62299678
174	75.62299587
175	75.53240949
176	75.51821952
177	75.44575469
178	75.36697253
179	75.26962575
180	75.23502469
181	75.15967002
182	75.14745915
183	75.12782843
184	75.12185369
185	75.06710941
186	74.95431904
187	74.92444185
188	74.89637928
189	74.84175304
190	74.82207084
191	74.80332663
192	74.79590174
193	74.79590041
194	74.70572563
195	74.69879835
196	74.69736575
197	74.69736414
198	74.62885852
199	74.57665761
200	74.54941556
201	74.54941291
202	74.54292361
203	74.52597153
204	74.43259189
205	74.34696384
206	74.30371628
207	74.26809275
208	74.13051903
209	74.13051852
210	74.06598961
211	74.06598879
212	73.99250663
213	73.95460532
214	73.92983779
215	73.84361843
216	73.80912605
217	73.76944236
218	73.76723466
219	73.58491536
220	73.58281394
221	73.54052294
222	73.3197348
223	73.2726744
224	73.27088104
225	73.19983003
226	73.19232798
227	73.15640411
228	73.04284218
229	72.97309549
230	72.89331771
231	72.82741921
232	72.81853237
233	72.79445229
234	72.6048793
235	72.54271372
236	72.49963484
237	72.47018698
238	72.41989237
239	72.39585264
240	72.37886098
241	72.27701384
242	72.27037546
243	72.26650545
244	72.22461111
245	72.13709671
246	72.13106417
247	72.05452168
248	72.0201457
249	71.95637829
250	71.90494312
251	71.82814155
252	71.75240281
253	71.71781285
254	71.66982275
255	71.56434233
256	71.49456078
257	71.4808048
258	71.45498151
259	71.37245499
260	71.36305587
261	71.32551688
262	71.25301155
263	71.20942092
264	71.0824553
265	71.06799764
266	71.00875594
267	71.0004771
268	70.92894402
269	70.83454655
270	70.80021487
271	70.73768777
272	70.71788474
273	70.65689573
274	70.61736483
275	70.57662547
276	70.57251812
277	70.48828529
278	70.43752187
