iter	Passed	Remaining
0	25	24987
1	64	32345
2	102	34199
3	143	35732
4	182	36266
5	232	38464
6	270	38368
7	343	42552
8	477	52539
9	509	50413
10	550	49481
11	590	48604
12	629	47780
13	655	46149
14	670	44034
15	706	43469
16	738	42677
17	774	42254
18	808	41753
19	841	41226
20	878	40973
21	910	40495
22	945	40168
23	975	39653
24	1010	39401
25	1044	39140
26	1080	38948
27	1210	42012
28	1250	41860
29	1270	41089
30	1306	40844
31	1352	40915
32	1394	40852
33	1435	40778
34	1474	40642
35	1543	41337
36	1594	41501
37	1648	41725
38	1687	41578
39	1702	40866
40	1714	40108
41	1737	39624
42	1771	39431
43	1806	39253
44	1870	39701
45	1906	39533
46	1919	38913
47	1929	38266
48	1951	37879
49	1979	37613
50	2004	37305
51	2017	36782
52	2033	36339
53	2059	36079
54	2083	35799
55	2101	35420
56	2124	35155
57	2152	34959
58	2186	34866
59	2249	35244
60	2298	35381
61	2325	35179
62	2357	35062
63	2387	34918
64	2422	34845
65	2452	34700
66	2478	34519
67	2524	34596
68	2569	34670
69	2651	35233
70	2669	34934
71	2696	34754
72	2777	35270
73	2904	36341
74	2940	36268
75	2972	36140
76	3004	36009
77	3030	35822
78	3063	35709
79	3106	35719
80	3163	35895
81	3179	35595
82	3260	36017
83	3366	36710
84	3455	37195
85	3480	36986
86	3538	37130
87	3650	37835
88	3700	37874
89	3737	37788
90	3772	37680
91	3823	37738
92	3921	38244
93	3984	38399
94	4025	38352
95	4076	38386
96	4136	38508
97	4203	38690
98	4247	38656
99	4294	38652
100	4352	38738
101	4395	38700
102	4440	38669
103	4452	38362
104	4478	38176
105	4496	37921
106	4541	37899
107	4577	37809
108	4609	37680
109	4620	37383
110	4664	37356
111	4693	37210
112	4708	36956
113	4762	37012
114	4792	36879
115	4825	36770
116	4860	36683
117	4895	36595
118	4901	36285
119	4938	36214
120	4952	35979
121	4993	35934
122	5044	35965
123	5173	36548
124	5232	36628
125	5278	36617
126	5322	36588
127	5363	36539
128	5421	36604
129	5478	36661
130	5522	36633
131	5586	36734
132	5631	36712
133	5683	36728
134	5744	36806
135	5794	36809
136	5841	36794
137	5894	36817
138	5951	36864
139	5963	36634
140	6005	36586
141	6020	36378
142	6051	36266
143	6090	36206
144	6123	36110
145	6140	35918
146	6189	35916
147	6246	35959
148	6261	35762
149	6312	35771
150	6355	35736
151	6409	35760
152	6434	35622
153	6478	35589
154	6513	35510
155	6520	35279
156	6562	35237
157	6604	35194
158	6649	35168
159	6674	35039
160	6719	35014
161	6760	34971
162	6809	34965
163	6851	34926
164	6878	34809
165	6893	34631
166	6922	34528
167	6955	34444
168	6983	34340
169	7016	34256
170	7044	34152
171	7073	34050
172	7103	33959
173	7139	33889
174	7148	33701
175	7177	33602
176	7206	33508
177	7235	33413
178	7264	33317
179	7292	33221
180	7350	33258
181	7386	33200
182	7415	33105
183	7448	33030
184	7475	32930
185	7508	32860
186	7542	32790
187	7575	32720
188	7606	32640
189	7645	32593
190	7677	32518
191	7706	32431
192	7721	32284
193	7736	32143
194	7767	32065
195	7782	31925
196	7797	31784
197	7810	31637
198	7847	31585
199	7879	31518
200	7907	31432
201	7917	31278
202	7926	31121
203	7954	31037
204	7983	30960
205	8011	30879
206	8038	30793
207	8066	30713
208	8094	30634
209	8104	30486
210	8132	30408
211	8142	30263
212	8168	30181
213	8196	30105
214	8224	30028
215	8252	29954
216	8286	29898
217	8320	29845
218	8341	29749
219	8401	29786
220	8437	29742
221	8470	29684
222	8500	29618
223	8530	29551
224	8543	29428
225	8570	29352
226	8600	29287
227	8629	29220
228	8657	29149
229	8685	29077
230	8714	29011
231	8745	28950
232	8768	28864
233	8790	28777
234	8815	28696
235	8856	28671
236	8886	28607
237	8921	28563
238	8957	28522
239	8991	28473
240	9022	28414
241	9047	28337
242	9077	28277
243	9108	28221
244	9151	28201
245	9180	28138
246	9204	28061
247	9227	27980
248	9249	27897
249	9272	27816
250	9301	27755
251	9333	27703
252	9362	27643
253	9391	27583
254	9419	27520
255	9447	27457
256	9479	27404
257	9519	27377
258	9568	27376
259	9598	27320
260	9635	27282
261	9695	27309
262	9741	27298
263	9777	27257
264	9809	27208
265	9849	27177
266	9899	27176
267	9939	27146
268	9998	27171
269	10035	27133
270	10062	27068
271	10092	27011
272	10121	26954
273	10151	26898
274	10184	26849
275	10215	26796
276	10267	26799
277	10324	26814
278	10356	26763
279	10399	26741
280	10444	26725
281	10479	26681
282	10508	26624
283	10538	26569
284	10566	26510
285	10589	26437
286	10622	26388
287	10654	26339
288	10688	26297
289	10720	26246
290	10746	26183
291	10772	26120
292	10801	26062
293	10837	26024
294	10871	25981
295	10914	25958
296	10948	25915
297	10992	25894
298	11036	25874
299	11072	25836
300	11106	25791
301	11191	25866
302	11290	25970
303	11372	26035
304	11441	26070
305	11493	26065
306	11568	26114
307	11657	26190
308	11707	26181
309	11770	26198
310	11814	26173
311	11866	26167
312	11914	26151
313	12024	26269
314	12071	26250
315	12119	26233
316	12177	26237
317	12237	26246
318	12293	26243
319	12359	26263
320	12402	26233
321	12446	26207
322	12488	26176
323	12523	26129
324	12566	26100
325	12616	26084
326	12653	26042
327	12694	26008
328	12736	25976
329	12775	25937
330	12810	25891
331	12843	25842
332	12877	25793
333	12936	25795
334	12984	25774
335	13032	25755
336	13065	25705
337	13095	25648
338	13121	25584
339	13148	25523
340	13173	25458
341	13199	25395
342	13226	25334
343	13253	25273
344	13276	25206
345	13311	25160
346	13346	25115
347	13376	25061
348	13404	25004
349	13431	24943
350	13459	24886
351	13484	24824
352	13512	24766
353	13543	24714
354	13574	24663
355	13603	24609
356	13627	24544
357	13651	24480
358	13676	24419
359	13702	24360
360	13728	24300
361	13751	24235
362	13785	24191
363	13820	24147
364	13849	24095
365	13887	24056
366	13915	24000
367	13945	23950
368	13980	23907
369	14017	23867
370	14055	23829
371	14090	23787
372	14128	23750
373	14156	23695
374	14182	23637
375	14208	23580
376	14233	23521
377	14257	23460
378	14281	23400
379	14307	23343
380	14331	23283
381	14355	23223
382	14377	23161
383	14401	23102
384	14424	23042
385	14464	23009
386	14487	22948
387	14511	22888
388	14534	22829
389	14557	22768
390	14580	22710
391	14604	22652
392	14627	22593
393	14650	22533
394	14673	22474
395	14696	22415
396	14724	22364
397	14750	22311
398	14777	22258
399	14802	22203
400	14827	22148
401	14853	22095
402	14878	22041
403	14904	21987
404	14929	21932
405	14955	21880
406	14980	21826
407	15005	21772
408	15030	21719
409	15054	21664
410	15078	21609
411	15103	21555
412	15128	21502
413	15152	21447
414	15175	21392
415	15200	21339
416	15226	21287
417	15252	21236
418	15280	21188
419	15310	21143
420	15343	21101
421	15373	21056
422	15411	21022
423	15433	20966
424	15456	20912
425	15478	20855
426	15502	20802
427	15524	20747
428	15545	20691
429	15568	20637
430	15591	20584
431	15613	20528
432	15634	20473
433	15655	20417
434	15676	20361
435	15698	20306
436	15720	20252
437	15741	20198
438	15763	20144
439	15786	20091
440	15807	20037
441	15828	19982
442	15849	19928
443	15870	19873
444	15890	19818
445	15911	19764
446	15932	19710
447	15953	19656
448	15975	19604
449	15996	19550
450	16016	19496
451	16037	19443
452	16058	19390
453	16075	19332
454	16095	19279
455	16116	19227
456	16138	19175
457	16159	19122
458	16180	19071
459	16201	19018
460	16221	18966
461	16242	18914
462	16263	18863
463	16285	18812
464	16308	18763
465	16330	18713
466	16354	18665
467	16375	18614
468	16396	18563
469	16416	18512
470	16437	18461
471	16458	18411
472	16479	18361
473	16500	18310
474	16521	18260
475	16542	18210
476	16562	18160
477	16583	18110
478	16604	18059
479	16624	18009
480	16646	17961
481	16666	17911
482	16687	17862
483	16709	17814
484	16730	17765
485	16751	17716
486	16772	17668
487	16793	17619
488	16815	17571
489	16837	17524
490	16858	17476
491	16878	17427
492	16900	17379
493	16920	17331
494	16941	17283
495	16963	17236
496	16984	17189
497	17005	17142
498	17027	17095
499	17048	17048
500	17069	17001
501	17090	16953
502	17111	16907
503	17133	16862
504	17155	16815
505	17176	16769
506	17197	16722
507	17217	16675
508	17239	16629
509	17260	16584
510	17283	16539
511	17306	16494
512	17328	16450
513	17350	16405
514	17371	16359
515	17392	16314
516	17413	16268
517	17433	16221
518	17454	16176
519	17474	16130
520	17495	16085
521	17516	16040
522	17537	15994
523	17558	15949
524	17579	15905
525	17600	15860
526	17621	15815
527	17641	15770
528	17662	15725
529	17683	15681
530	17705	15638
531	17726	15593
532	17747	15549
533	17768	15505
534	17789	15461
535	17810	15417
536	17831	15373
537	17851	15330
538	17873	15287
539	17895	15243
540	17916	15200
541	17937	15157
542	17959	15114
543	17980	15071
544	18001	15028
545	18021	14985
546	18042	14942
547	18063	14899
548	18084	14856
549	18104	14812
550	18125	14770
551	18146	14727
552	18167	14684
553	18187	14642
554	18208	14599
555	18230	14557
556	18251	14515
557	18273	14474
558	18301	14438
559	18323	14396
560	18344	14354
561	18364	14312
562	18385	14270
563	18407	14229
564	18428	14188
565	18449	14147
566	18470	14105
567	18491	14064
568	18512	14022
569	18534	13982
570	18555	13941
571	18576	13899
572	18599	13860
573	18620	13819
574	18641	13778
575	18661	13736
576	18682	13696
577	18705	13657
578	18726	13616
579	18747	13576
580	18761	13530
581	18782	13489
582	18803	13449
583	18824	13409
584	18844	13368
585	18866	13328
586	18887	13288
587	18907	13248
588	18929	13209
589	18951	13169
590	18972	13130
591	18994	13090
592	19016	13051
593	19037	13012
594	19058	12972
595	19079	12933
596	19100	12893
597	19121	12854
598	19142	12815
599	19163	12775
600	19184	12736
601	19205	12697
602	19225	12657
603	19247	12619
604	19269	12580
605	19291	12542
606	19313	12504
607	19334	12465
608	19356	12427
609	19376	12388
610	19398	12350
611	19419	12311
612	19439	12272
613	19461	12234
614	19482	12196
615	19503	12158
616	19525	12120
617	19545	12081
618	19566	12043
619	19587	12004
620	19608	11966
621	19629	11929
622	19650	11891
623	19672	11854
624	19694	11816
625	19715	11778
626	19737	11741
627	19758	11703
628	19779	11666
629	19799	11628
630	19820	11590
631	19840	11552
632	19861	11515
633	19881	11477
634	19903	11440
635	19923	11402
636	19945	11366
637	19966	11328
638	19987	11291
639	20009	11255
640	20030	11218
641	20050	11180
642	20071	11143
643	20092	11106
644	20112	11069
645	20132	11032
646	20153	10995
647	20173	10958
648	20194	10921
649	20215	10885
650	20236	10848
651	20258	10812
652	20280	10777
653	20316	10748
654	20337	10712
655	20359	10676
656	20379	10639
657	20400	10603
658	20421	10566
659	20442	10530
660	20463	10494
